,csv_confirmed,csv_death,csv_recovered,date
195,2801921,95819,2157484,8/4/20
196,2859073,97256,2190361,8/5/20
197,2912212,98493,2230542,8/6/20
198,2962442,99572,2272299,8/7/20
199,3012412,100477,2321537,8/8/20
200,3035422,101049,2356983,8/9/20
201,3057470,101752,2390830,8/10/20
202,3109630,103026,2449338,8/11/20
203,3164785,104201,2506228,8/12/20
204,3224876,105463,2521100,8/13/20
205,3275520,106523,2616981,8/14/20
206,3317096,107232,2622878,8/15/20
207,3340197,107852,2655017,8/16/20
208,3359570,108536,2699080,8/17/20
209,3407354,109888,2751246,8/18/20
210,3456652,111100,2801931,8/19/20
211,3501975,112304,2844318,8/20/20
212,3532330,113358,2855558,8/21/20
213,3582362,114250,2913966,8/22/20
214,3605783,114744,2947784,8/23/20
215,3622861,115309,2976256,8/24/20
216,3669995,116580,3032551,8/25/20
217,3717156,117665,3082447,8/26/20
218,3761391,118649,3122846,8/27/20
219,3804803,119504,3158783,8/28/20
220,3846153,120262,3202185,8/29/20
221,3862311,120828,3237615,8/30/20
222,3908272,121381,3268591,8/31/20
223,3950931,122596,3345240,9/1/20
224,3997865,123780,3387309,9/2/20
225,4041638,124614,3429435,9/3/20
226,4091801,125502,3464278,9/4/20
227,4123000,126203,3498999,9/5/20
228,4137521,126650,3522155,9/6/20
229,4147794,126960,3549201,9/7/20
230,4162073,127464,3572421,9/8/20
231,4197889,128539,3611632,9/9/20
232,4238446,129522,3657701,9/10/20
233,4282164,130396,3695158,9/11/20
234,4315687,131210,3723206,9/12/20
235,4330455,131625,3723206,9/13/20
236,4345610,132006,3770138,9/14/20
237,4382263,133119,3811505,9/15/20
238,4419083,134106,3845464,9/16/20
239,4455386,134935,3873934,9/17/20
240,4495183,135793,3897539,9/18/20
241,4528240,136532,3936893,9/19/20
242,4544629,136895,3963446,9/20/20
243,4558040,137272,3993432,9/21/20
244,4591364,138105,4016831,9/22/20
245,4591364,138105,4046827,9/23/20
246,4657702,139808,4102954,9/24/20
247,4689613,140537,4128490,9/25/20
248,4717991,141406,4153307,9/26/20
249,4732309,141741,4172711,9/27/20
250,4745464,142058,4197372,9/28/20
251,4777522,142921,4237152,9/29/20
252,4810935,143952,4274774,9/30/20
253,4847092,144680,4299659,10/1/20
254,4847092,144680,4299659,10/2/20
255,4906833,145987,4361108,10/3/20
256,4915289,146352,4375354,10/4/20
257,4927235,146675,4397882,10/5/20
258,4969141,147494,4430340,10/6/20
259,5000694,148228,4457172,10/7/20
260,5028444,148957,4488092,10/8/20
261,5055888,149639,4502854,10/9/20
262,5082637,150198,4502854,10/10/20
263,5094979,150488,4526393,10/11/20
264,5103408,150689,4526393,10/12/20
265,5113628,150998,4526393,10/13/20
266,5140863,151747,4526393,10/14/20
267,5169386,152460,4526393,10/15/20
268,5200300,153214,4526393,10/16/20
269,5224362,153675,4526393,10/17/20
270,5224362,153675,4526393,10/18/20
271,5250727,154176,4526393,10/19/20
272,5273954,154837,4526393,10/20/20
273,5298772,155403,4526393,10/21/20
274,5323630,155900,4526393,10/22/20
275,5353656,156471,4526393,10/23/20
276,5380635,156903,4526393,10/24/20
277,5394128,157134,4526393,10/25/20
278,5409854,157397,4526393,10/26/20
279,5439641,157946,4914733,10/27/20
280,5468270,158456,4947777,10/28/20
281,5494376,158969,4962574,10/29/20
282,5516658,159477,4987435,10/30/20
283,5535605,159884,5005161,10/31/20
284,5545705,160074,5022338,11/1/20
285,5554206,160253,5039438,11/2/20
286,5566049,160496,5060697,11/3/20
287,5590025,161106,5078162,11/4/20
288,5590025,161106,5078162,11/5/20
289,5631181,162015,5118156,11/6/20
290,5653561,162269,5138641,11/7/20
291,5664115,162397,5147172,11/8/20
292,5675032,162628,5163226,11/9/20
293,5699005,162802,5183970,11/10/20
294,5747660,163368,5222937,11/11/20
295,5781582,164281,5254457,11/12/20
296,5810652,164737,5274812,11/13/20
297,5848959,165658,5279452,11/14/20
298,5863093,165798,5279452,11/15/20
299,5876464,166014,5335498,11/16/20
300,5911758,166699,5358299,11/17/20
301,5945849,167455,5383385,11/18/20
302,5981767,168061,5406066,11/19/20
303,6020164,168613,5430896,11/20/20
304,6052786,168989,5437189,11/21/20
305,6071401,169183,5457973,11/22/20
306,6087608,169485,5481184,11/23/20
307,6118708,170115,5509645,11/24/20
308,6166606,170769,5534010,11/25/20
309,6204220,171460,5556887,11/26/20
310,6238350,171974,5581436,11/27/20
311,6290272,172561,5581436,11/28/20
312,6314740,172833,5581436,11/29/20
313,6335878,173120,5597802,11/30/20
314,6386787,173817,5712305,12/1/20
