,csv_confirmed,csv_death,csv_recovered,date,confirmed_BA,obitos_BA,death/conf,recov/conf,obit/confBA,confBA/conf,recov/confBA,recovBA
0,0,0,0,2020-01-22,0,0,0.0,0.0,0.0,0.0,0.0,0
1,0,0,0,2020-01-23,0,0,0.0,0.0,0.0,0.0,0.0,0
2,0,0,0,2020-01-24,0,0,0.0,0.0,0.0,0.0,0.0,0
3,0,0,0,2020-01-25,0,0,0.0,0.0,0.0,0.0,0.0,0
4,0,0,0,2020-01-26,0,0,0.0,0.0,0.0,0.0,0.0,0
5,0,0,0,2020-01-27,0,0,0.0,0.0,0.0,0.0,0.0,0
6,0,0,0,2020-01-28,0,0,0.0,0.0,0.0,0.0,0.0,0
7,0,0,0,2020-01-29,0,0,0.0,0.0,0.0,0.0,0.0,0
8,0,0,0,2020-01-30,0,0,0.0,0.0,0.0,0.0,0.0,0
9,0,0,0,2020-01-31,0,0,0.0,0.0,0.0,0.0,0.0,0
10,0,0,0,2020-02-01,0,0,0.0,0.0,0.0,0.0,0.0,0
11,0,0,0,2020-02-02,0,0,0.0,0.0,0.0,0.0,0.0,0
12,0,0,0,2020-02-03,0,0,0.0,0.0,0.0,0.0,0.0,0
13,0,0,0,2020-02-04,0,0,0.0,0.0,0.0,0.0,0.0,0
14,0,0,0,2020-02-05,0,0,0.0,0.0,0.0,0.0,0.0,0
15,0,0,0,2020-02-06,0,0,0.0,0.0,0.0,0.0,0.0,0
16,0,0,0,2020-02-07,0,0,0.0,0.0,0.0,0.0,0.0,0
17,0,0,0,2020-02-08,0,0,0.0,0.0,0.0,0.0,0.0,0
18,0,0,0,2020-02-09,0,0,0.0,0.0,0.0,0.0,0.0,0
19,0,0,0,2020-02-10,0,0,0.0,0.0,0.0,0.0,0.0,0
20,0,0,0,2020-02-11,0,0,0.0,0.0,0.0,0.0,0.0,0
21,0,0,0,2020-02-12,0,0,0.0,0.0,0.0,0.0,0.0,0
22,0,0,0,2020-02-13,0,0,0.0,0.0,0.0,0.0,0.0,0
23,0,0,0,2020-02-14,0,0,0.0,0.0,0.0,0.0,0.0,0
24,0,0,0,2020-02-15,0,0,0.0,0.0,0.0,0.0,0.0,0
25,0,0,0,2020-02-16,0,0,0.0,0.0,0.0,0.0,0.0,0
26,0,0,0,2020-02-17,0,0,0.0,0.0,0.0,0.0,0.0,0
27,0,0,0,2020-02-18,0,0,0.0,0.0,0.0,0.0,0.0,0
28,0,0,0,2020-02-19,0,0,0.0,0.0,0.0,0.0,0.0,0
29,0,0,0,2020-02-20,0,0,0.0,0.0,0.0,0.0,0.0,0
30,0,0,0,2020-02-21,0,0,0.0,0.0,0.0,0.0,0.0,0
31,0,0,0,2020-02-22,0,0,0.0,0.0,0.0,0.0,0.0,0
32,0,0,0,2020-02-23,0,0,0.0,0.0,0.0,0.0,0.0,0
33,0,0,0,2020-02-24,0,0,0.0,0.0,0.0,0.0,0.0,0
34,0,0,0,2020-02-25,0,0,0.0,0.0,0.0,0.0,0.0,0
35,1,0,0,2020-02-26,0,0,0.0,0.0,0.0,0.0,0.0,0
36,1,0,0,2020-02-27,0,0,0.0,0.0,0.0,0.0,0.0,0
37,1,0,0,2020-02-28,0,0,0.0,0.0,0.0,0.0,0.0,0
38,2,0,0,2020-02-29,0,0,0.0,0.0,0.0,0.0,0.0,0
39,2,0,0,2020-03-01,0,0,0.0,0.0,0.0,0.0,0.0,0
40,2,0,0,2020-03-02,0,0,0.0,0.0,0.0,0.0,0.0,0
41,2,0,0,2020-03-03,0,0,0.0,0.0,0.0,0.0,0.0,0
42,4,0,0,2020-03-04,0,0,0.0,0.0,0.0,0.0,0.0,0
43,4,0,0,2020-03-05,0,0,0.0,0.0,0.0,0.0,0.0,0
44,13,0,0,2020-03-06,1,0,0.0,0.0,0.0,0.07692307692307693,0.5568579441564525,0
45,13,0,0,2020-03-07,2,0,0.0,0.0,0.0,0.15384615384615385,1.113715888312905,2
46,20,0,0,2020-03-08,2,0,0.0,0.0,0.0,0.1,0.7239153274033883,1
47,25,0,0,2020-03-09,2,0,0.0,0.0,0.0,0.08,0.5791322619227105,1
48,31,0,0,2020-03-10,2,0,0.0,0.0,0.0,0.06451612903225806,0.46704214671186334,0
49,38,0,0,2020-03-11,3,0,0.0,0.0,0.0,0.07894736842105263,0.5715121005816222,1
50,52,0,0,2020-03-12,3,0,0.0,0.0,0.0,0.057692307692307696,0.41764345811733933,1
51,151,0,0,2020-03-13,7,0,0.0,0.0,0.0,0.046357615894039736,0.33558988687574287,2
52,151,0,0,2020-03-14,7,0,0.0,0.0,0.0,0.046357615894039736,0.33558988687574287,2
53,162,0,0,2020-03-15,9,0,0.0,0.0,0.0,0.05555555555555555,0.40217518189077117,3
54,200,0,1,2020-03-16,10,0,0.0,0.005,0.0,0.05,0.36195766370169413,3
55,321,1,2,2020-03-17,14,0,0.003115264797507788,0.006230529595015576,0.0,0.04361370716510903,0.2521080839965101,3
56,372,3,2,2020-03-18,27,0,0.008064516129032258,0.005376344086021506,0.0,0.07258064516129033,0.36073329510250274,9
57,621,6,2,2020-03-19,31,0,0.00966183574879227,0.00322061191626409,0.0,0.0499194847020934,0.16406609702654223,5
58,793,11,2,2020-03-20,34,0,0.013871374527112233,0.0025220680958385876,0.0,0.04287515762925599,0.02710624427189323,0
59,1021,15,2,2020-03-21,41,0,0.014691478942213516,0.0019588638589618022,0.0,0.040156709108716944,-0.009320743260068431,0
60,1546,25,2,2020-03-22,55,0,0.016170763260025874,0.00129366106080207,0.0,0.03557567917205692,-0.07269265314877199,-3
61,1924,34,2,2020-03-23,63,0,0.017671517671517672,0.0010395010395010396,0.0,0.032744282744282746,-0.12383714835659143,-7
62,2247,46,2,2020-03-24,79,0,0.020471740097908322,0.0008900756564307966,0.0,0.03515798842901647,-0.1635485676620716,-12
63,2554,59,2,2020-03-25,91,0,0.023101018010963197,0.0007830853563038371,0.0,0.03563038371182459,-0.21382249553837052,-19
64,2985,77,6,2020-03-26,108,0,0.02579564489112228,0.0020100502512562816,0.0,0.036180904522613064,-0.2648653814643635,-28
65,3417,92,6,2020-03-27,123,0,0.026924202516827627,0.001755926251097454,0.0,0.035996488147497806,-0.2892471839814269,-35
66,3904,111,6,2020-03-28,127,0,0.028432377049180328,0.0015368852459016393,0.0,0.03253073770491803,-0.34513539476605987,-43
67,4256,136,6,2020-03-29,156,1,0.03195488721804511,0.0014097744360902255,0.00641025641025641,0.03665413533834586,-0.10803400794608842,-16
68,4579,159,120,2020-03-30,176,2,0.034723738807599915,0.0262065953264905,0.011363636363636364,0.03843633981218607,0.0640585044669395,11
69,5717,201,127,2020-03-31,217,2,0.035158299807591394,0.02221444813713486,0.009216589861751152,0.037956970439041456,-0.0417965236291894,-9
70,6836,240,127,2020-04-01,246,2,0.03510825043885313,0.01857811585722645,0.008130081300813009,0.03598595669982446,-0.10236368019152331,-25
71,8044,324,127,2020-04-02,267,3,0.04027846842366982,0.015788165091994034,0.011235955056179775,0.033192441571357534,-0.09289942758298375,-24
72,9056,359,127,2020-04-03,290,6,0.03964222614840989,0.014023851590106008,0.020689655172413793,0.03202296819787986,0.32336508351862936,93
73,10360,445,127,2020-04-04,336,7,0.04295366795366795,0.012258687258687258,0.020833333333333332,0.032432432432432434,0.2649624345193785,89
74,11130,486,127,2020-04-05,401,9,0.04366576819407008,0.011410601976639713,0.022443890274314215,0.036028751123090744,0.3465992911219451,138
75,12161,564,127,2020-04-06,437,10,0.046377764986432035,0.010443220129923526,0.02288329519450801,0.03593454485650851,0.3096718347535087,135
76,14034,686,127,2020-04-07,462,14,0.048881288299843235,0.009049451332478267,0.030303030303030304,0.03292005130397606,0.5598760041402274,258
77,16170,819,127,2020-04-08,515,18,0.05064935064935065,0.007854050711193569,0.03495145631067961,0.031849103277674706,0.7184700007291978,370
78,18092,950,173,2020-04-09,568,19,0.05250939641830643,0.009562237453017909,0.03345070422535211,0.03139509175326111,0.6118361708456177,347
79,19638,1057,173,2020-04-10,616,19,0.05382421835217436,0.008809451064263164,0.030844155844155844,0.031367756390671145,0.4712645703619971,290
80,20727,1124,173,2020-04-11,640,21,0.05422878371206639,0.008346601051768225,0.0328125,0.030877599266657018,0.545181836765025,348
81,22192,1223,173,2020-04-12,674,21,0.055109949531362654,0.0077956020187454934,0.03115727002967359,0.03037130497476568,0.4514316889508181,304
82,23430,1328,173,2020-04-13,723,22,0.05667947076397781,0.007383696116090482,0.030428769017980636,0.03085787451984635,0.3911736953499907,282
83,25262,1532,3046,2020-04-14,776,26,0.06064444620378434,0.12057635974982187,0.03350515463917526,0.030718074578418176,0.4431771020479278,343
84,28320,1736,14026,2020-04-15,884,28,0.06129943502824859,0.4952683615819209,0.03167420814479638,0.031214689265536725,0.35365303706776663,312
85,30425,1924,14026,2020-04-16,967,34,0.06323746918652424,0.4610024650780608,0.03516028955532575,0.03178307313064914,0.47001967979149706,454
86,33682,2141,14026,2020-04-17,1064,36,0.06356510896027552,0.4164242028383113,0.03383458646616541,0.031589573065732436,0.4041896045374749,430
87,36658,2354,14026,2020-04-18,1200,40,0.06421517813301325,0.3826177096404605,0.03333333333333333,0.03273501009329478,0.37737513798639455,452
88,38654,2462,22130,2020-04-19,1249,45,0.06369327883272106,0.5725151342681223,0.036028823058446756,0.03231230920473949,0.5023698936725578,627
89,40743,2587,22130,2020-04-20,1377,47,0.06349556979112976,0.543160788356282,0.03413217138707335,0.033797216699801194,0.43455189822647045,598
90,43079,2741,22991,2020-04-21,1504,48,0.06362728939854685,0.533693911186425,0.031914893617021274,0.03491260242809722,0.343367221105098,516
91,45757,2906,25318,2020-04-22,1645,53,0.0635094083965295,0.553314247000459,0.03221884498480243,0.035950783486679634,0.36652808453557495,602
92,50036,3331,26573,2020-04-23,1845,62,0.06657206811096011,0.5310776241106403,0.03360433604336043,0.036873451115197055,0.37100582979840513,684
93,54043,3704,27655,2020-04-24,1979,67,0.06853801602427696,0.5117221471790981,0.033855482566953005,0.03661898858316526,0.33995442605993165,672
94,59324,4057,29160,2020-04-25,2116,72,0.06838716202548716,0.4915379947407457,0.034026465028355386,0.03566853212864945,0.34360139211509977,727
95,63100,4286,30152,2020-04-26,2248,74,0.06792393026941362,0.4778446909667195,0.03291814946619217,0.03562599049128368,0.3044827629916267,684
96,67446,4603,31142,2020-04-27,2356,83,0.0682471903448685,0.46173234884203657,0.03522920203735144,0.03493164902292204,0.39350827784025544,927
97,73235,5083,32544,2020-04-28,2564,93,0.06940670444459617,0.4443776882638083,0.03627145085803432,0.035010582371816756,0.4157938480645751,1066
98,79685,5513,34132,2020-04-29,2676,100,0.06918491560519546,0.4283365752651064,0.03736920777279522,0.03358223003074606,0.4577937033189088,1225
99,87187,6006,35935,2020-04-30,2867,106,0.06888641655292647,0.41216006973516695,0.03697244506452738,0.03288334270017319,0.44154990663012406,1265
100,92202,6412,38039,2020-05-01,3140,117,0.06954296002255916,0.4125615496410056,0.037261146496815285,0.03405566039782217,0.4492027531735274,1410
101,97100,6761,40937,2020-05-02,3315,123,0.06962924819773429,0.42159629248197733,0.037104072398190045,0.03414006179196705,0.44121056127165925,1462
102,101826,7051,42991,2020-05-03,3566,128,0.06924557578614499,0.42220061673835757,0.0358945597307908,0.0350205252096714,0.4027415469156401,1436
103,108620,7367,45815,2020-05-04,3734,141,0.06782360522923955,0.4217915669305837,0.03776111408677022,0.0343767262014362,0.5084138329476793,1898
104,115455,7938,48221,2020-05-05,4040,146,0.06875406002338573,0.4176605603914945,0.036138613861386136,0.03499198822051882,0.423201731165467,1709
